model,term,estimate,se,HR,HR_lo95,HR_hi95,p_value,n_events
M1_PLACED,pop_available_s2,0.0035870423236072126,0.005628391291371104,1.0035934834591622,0.9925830378232106,1.014726064884748,0.5239215188305734,338
M1_PLACED,factor(day_of_week).L,-0.11840389982471215,0.20408173025956156,0.8883371809137312,0.5954701060866153,1.3252435998507854,0.5617940271551337,338
M1_PLACED,factor(day_of_week).Q,-0.31604376176183485,0.1755505229851517,0.7290275459396999,0.516787875859702,1.0284319496751277,0.07181314137034049,338
M1_PLACED,factor(day_of_week).C,0.038141656916156105,0.202214199293428,1.0388783867640992,0.6989345508357834,1.5441621839913222,0.8503905996812896,338
M1_PLACED,factor(day_of_week)^4,0.3256568368019968,0.21703418547960365,1.3849400268688452,0.9050816062115884,2.1192109803799033,0.13348846194128697,338
M1_PLACED,factor(day_of_week)^5,0.02206134115176506,0.19574999535512022,1.0223064920048188,0.6965549114510129,1.5003993890705616,0.9102671186414025,338
M1_PLACED,factor(day_of_week)^6,-0.007708809580298075,0.1660573552153591,0.9923208270888982,0.7166403086717813,1.3740514062060447,0.9629734458023249,338
M2_CANCELLED,pop_available_s2,0.033673271817954875,0.015694782541717477,1.0342466339960046,1.0029157405629663,1.0665562984699293,0.031912301759490176,639
M2_CANCELLED,factor(day_of_week).L,-2.4431551360331603,0.4596645671891118,0.08688628050099578,0.03529204524078943,0.21390728952632546,1.0660896482034417e-7,639
M2_CANCELLED,factor(day_of_week).Q,-0.9628572537365032,0.464692911099992,0.38180042530786895,0.15356131284488095,0.9492727176181405,0.038262723575911844,639
M2_CANCELLED,factor(day_of_week).C,-0.009468569494678317,0.4973395122649532,0.9905761162615158,0.3737179114803592,2.6256195166586687,0.9848104386212307,639
M2_CANCELLED,factor(day_of_week)^4,0.9036520886985021,0.41937245901754694,2.468602222656384,1.085110764657825,5.616013712319682,0.031179669826382636,639
M2_CANCELLED,factor(day_of_week)^5,-0.08332599050064914,0.47845561173239187,0.9200511703863251,0.3601988678010202,2.3500744499754065,0.8617427407774039,639
M2_CANCELLED,factor(day_of_week)^6,0.28460838932467325,0.4276820570628663,1.3292413810677433,0.5748486774233417,3.0736482809051986,0.5057517034178951,639
M3_NON_CONTACT,pop_available_s2,-0.001997047849809182,0.007361001239369452,0.9980049449234728,0.9837095381828869,1.012508094545414,0.7861594483390829,136
M3_NON_CONTACT,factor(day_of_week).L,-0.2065778457853615,0.3023549982992977,0.8133629421154082,0.4496914300379048,1.4711405008338039,0.49446185236874535,136
M3_NON_CONTACT,factor(day_of_week).Q,-0.058427159203467985,0.2590521762339611,0.9432469447561787,0.567695880887874,1.5672384259691214,0.8215576158083933,136
M3_NON_CONTACT,factor(day_of_week).C,0.39982008822954274,0.3002288588811651,1.4915563249611317,0.8280941070667162,2.6865790392013005,0.18295296765943167,136
M3_NON_CONTACT,factor(day_of_week)^4,-0.2087289342878771,0.32725063085161227,0.8116152068827577,0.4273550250728406,1.5413864477925958,0.5235870055946096,136
M3_NON_CONTACT,factor(day_of_week)^5,0.32633815223316404,0.28233335737928117,1.3858839293915568,0.7968927086758432,2.4102043409799423,0.2477379657951477,136
M3_NON_CONTACT,factor(day_of_week)^6,0.24352833636857107,0.2264591637928042,1.2757424672372437,0.8184592867809488,1.9885153348478732,0.2822072393044136,136
M4_REFUSED,pop_available_s2,-0.008728078022562336,0.012659562606737408,0.9913099010752582,0.9670154361479734,1.0162147192647972,0.49054298104873756,57
M4_REFUSED,factor(day_of_week).L,-0.8860104859605018,0.38482156841012205,0.4122973420377779,0.19392946664080385,0.8765511564380789,0.021313019288274695,57
M4_REFUSED,factor(day_of_week).Q,-4.1357170856418264e-4,0.39491114977731395,0.9995865138004264,0.46096211229587536,2.16758204615818,0.9991644135119585,57
M4_REFUSED,factor(day_of_week).C,0.6649444294102232,0.40594138118370265,1.9443824678540707,0.8774803845248212,4.308498797207407,0.10141529767136961,57
M4_REFUSED,factor(day_of_week)^4,-0.13751911568243932,0.45395902137525923,0.8715176901825208,0.35797977178275225,2.121748613108847,0.761941010082121,57
M4_REFUSED,factor(day_of_week)^5,0.7745117796960059,0.4304369862261603,2.169532658683323,0.933191625059931,5.043842905031691,0.07196150138801896,57
M4_REFUSED,factor(day_of_week)^6,0.061176435090056165,0.4682852583296143,1.0630864633974848,0.42457667247016234,2.661834485827516,0.896060691515755,57
M5_OTHER,pop_available_s2,-0.021310409046831492,0.019791558475260606,0.9789150533148699,0.9416686068893658,1.0176347332762257,0.28159538990214655,138
M5_OTHER,factor(day_of_week).L,0.3628803830581743,0.40402778685854174,1.437463903920858,0.6511507614447439,3.1733088516870884,0.3691018567481828,138
M5_OTHER,factor(day_of_week).Q,1.4056237728468755,0.419555424501455,4.078069737228904,1.7919333859162971,9.280843201209853,0.00080732949019996295,138
