shelter_group,conversion_coef,conversion_se,conversion_p,total_placed,mean_beds,sd_beds,n_days,mean_daily_rate,model_status,reliable
Cornerstone - Sylvia,1.4529261311811745,0.5626165847518303,0.00981031265792011,11,1.7954545454545454,0.8970891673696142,44,0.25,converged,TRUE
Olive Branch Mission - Lamplight Single Women,1.0246281572921494,0.36987502236267444,0.005602170915966776,27,1.9318181818181819,0.5791332406306017,44,0.6136363636363636,converged,TRUE
Franciscan Outreach - House of Mary and Joseph,0.6891127898830932,0.26757170212726156,0.010011488562304638,55,1.4545454545454546,0.5873519360063716,44,1.25,converged,TRUE
Lincoln Park Community Shelter - Fullerton,0.49687364248332283,0.44121354887661624,0.2601010697736564,15,1.5,0.6185024271931273,44,0.3409090909090909,converged,TRUE
Margaret's Village - Maria Shelter,0.34993999124381936,0.5050697002832643,0.4884006466645617,11,1.2045454545454546,0.6057104768761413,44,0.25,converged,TRUE
YWLA,0.2709558259283264,0.2080234607396532,0.1927368662797971,40,2.227272727272727,0.7850553641019097,44,0.9090909090909091,converged,TRUE
MWRD,-0.03563669099207391,0.1268248700766877,0.7787170371755957,68,299.40909090909093,1.212505164589897,44,1.5454545454545454,converged,TRUE
Olive Branch Mission - Lamplight I,-0.29343759180098417,0.33364843817587664,0.3791403198007447,24,2.6363636363636362,1.0047307439940887,44,0.5454545454545454,converged,TRUE
Cornerstone - Naomi Men,6.297641798030544,6.468665999958668,0.3302744926552822,3,0.18181818181818182,0.29627014946371083,44,0.06818181818181818,converged,FALSE
Inner Voice - Pioneer House,2.020153754622824,1.1286629120886367,0.07347568624845499,5,0.20454545454545456,0.29591576405351616,44,0.11363636363636363,converged,FALSE
Casa Central La Posada - 1322 N Kedzie,1.584971277116402,0.7158468137108722,0.02682047425620306,4,1.1363636363636365,0.7726310185982865,44,0.09090909090909091,converged,FALSE
Deborah's Place - Teresa,1.326286498979924,1.3009730751125823,0.3079859148391852,6,0.1590909090909091,0.25645712956529415,44,0.13636363636363635,converged,FALSE
Primo - Madison,1.2808462416154618,0.6500499497952155,0.048794691245610214,4,0.8181818181818182,0.6495463062730595,44,0.09090909090909091,converged,FALSE
Unity - Ujima Village,1.0610104748492772,0.936960414198858,0.25746787382040753,4,3.7045454545454546,0.8440216227672906,44,0.09090909090909091,converged,FALSE
A Safe Haven - West,0.8980933448173802,0.6329989789842593,0.155959915677908,4,0.7272727272727273,0.5976926291058349,44,0.09090909090909091,converged,FALSE
Good News Partners - New Life,0.8941722244804651,0.7475443031654697,0.2316395390188481,6,0.25,0.3809622935690941,44,0.13636363636363635,converged,FALSE
The Salvation Army - Evangeline Booth Lodge,0.503585496358304,1.0817573768133588,0.6415552776725079,3,0.2727272727272727,0.4103611301206987,44,0.06818181818181818,converged,FALSE
Primo - Sangamon,0.32526151583825436,0.4923353483060804,0.5088365770302214,11,0.5909090909090909,0.5532317027644318,44,0.25,converged,FALSE
Olive Branch Mission - Lamplight Single Men,0.24177563803089297,1.073951817441068,0.8218804139119912,4,0.7954545454545454,0.4601391765959491,44,0.09090909090909091,converged,FALSE
Margaret's Village - Believe Shelter,0.039449506036211786,0.8313023813860556,0.9621505452979965,3,0.8863636363636364,0.679945412193988,44,0.06818181818181818,converged,FALSE
Olive Branch Mission - Lamplight II,-0.29541449010470855,0.5835597212612772,0.6126963368363335,3,8.295454545454545,1.0289821932639298,44,0.06818181818181818,converged,FALSE
North Side Housing & Supportive Services - Michael Segoviano Shelter,-0.4663180961745343,0.8079348505398551,0.5638226657756378,9,0.8636363636363636,0.4896456118573479,44,0.20454545454545456,converged,FALSE
A Safe Haven - Roosevelt,-26.339654689424624,4877.163974880264,0.9956909585649674,7,0.3181818181818182,0.3868811416238482,44,0.1590909090909091,converged,FALSE
A Safe Haven - Youth,NA,NA,NA,1,0.7272727272727273,0.5976926291058349,44,0.022727272727272728,insufficient_data,FALSE
Christian Community Health Center - Amani House,NA,NA,NA,2,0.5909090909090909,0.5313232802766427,44,0.045454545454545456,insufficient_data,FALSE
Cornerstone - Hannah House,NA,NA,NA,0,0,0,44,0,insufficient_data,FALSE
Cornerstone - Naomi Women,NA,NA,NA,2,0.06818181818181818,0.1767329190874903,44,0.045454545454545456,insufficient_data,FALSE
Featherfist - Hope Village,NA,NA,NA,1,0.09090909090909091,0.2314853598677825,44,0.022727272727272728,insufficient_data,FALSE
La Casa Norte - 47th Street,NA,NA,NA,2,0.6428571428571429,0.5513797112984259,42,0.047619047619047616,insufficient_data,FALSE
New Life CC,NA,NA,NA,0,0.18181818181818182,0.3391199226401616,44,0,insufficient_data,FALSE
Olive Branch Mission - Lamplight III,NA,NA,NA,2,8.590909090909092,1.1548743446022063,44,0.045454545454545456,insufficient_data,FALSE
The Night Ministry - Open Door Youth Shelter,NA,NA,NA,1,2.272727272727273,0.8040431948240371,44,0.022727272727272728,insufficient_data,FALSE
