placement_name,bed_sites
MWRD,MWRD
Franciscan Outreach - House of Mary and Joseph,House of Mary & Joseph - Men;House of Mary & Joseph - Women
YWLA,YWLA - Men;YWLA - Women
Olive Branch Mission - Lamplight I,Lamplight Family I
Olive Branch Mission - Lamplight Single Women,Lamplight Singles - Women
Lincoln Park Community Shelter - Fullerton,Fullerton - Men;Fullerton - Women
Cornerstone - Sylvia,Sylvia
Margaret's Village - Maria Shelter,Maria - Families;Maria - Women
Primo - Sangamon,Sangamon
A Safe Haven - Roosevelt,Roosevelt - Men
North Side Housing & Supportive Services - Michael Segoviano Shelter,Sedgwick - Men;Sedgwick - Women
Olive Branch Mission - Lamplight Single Men,Lamplight Singles - Men
Good News Partners - New Life,New Life Interim Housing - Families;New Life Interim Housing - Women
New Life CC,New Life Interim Housing - Families
AIC,AIC
Inner Voice - Pioneer House,Pioneer House Transitional Housing Program
Deborah's Place - Teresa,Teresa
A Safe Haven - West,West
Margaret's Village - Believe Shelter,Believe
Christian Community Health Center - Amani House,Amani House - Families;Amani House - Women
Primo - Madison,Madison
Olive Branch Mission - Lamplight II,Lamplight Family II
The Salvation Army - EHARC,EHARC
Olive Branch Mission - Lamplight III,Lamplight Family III
Casa Central La Posada - 1322 N Kedzie,La Posada I - 1322 N. Kedzie
Unity - Ujima Village,Ujima Village Low Threshold Shelter
Cornerstone - Hannah House,Hannah
Cornerstone - Naomi Men,Naomi - Men
Cornerstone - Naomi Women,Naomi - Women
Featherfist - Hope Village,Hope Village
The Salvation Army - Evangeline Booth Lodge,Evangeline Booth Lodge
A Safe Haven - Youth,West
La Casa Norte - 47th Street,Casa Corazon Emergency Beds - 47th St
The Night Ministry - Open Door Youth Shelter,Open Door Youth Shelter
Connections for Abused Women and their Children Greenhouse Shelter,Greenhouse
