shelter_group,n_days,capacity,mean_beds,total_placed,mean_placed,pct_days_placed
MWRD,44,550,299.4,68,1.545,68.2
Franciscan Outreach - House of Mary and Joseph,44,235,1.5,55,1.25,50
YWLA,44,260,2.2,40,0.909,54.5
Olive Branch Mission - Lamplight Single Women,44,50,1.9,27,0.614,38.6
Olive Branch Mission - Lamplight I,44,72,2.6,24,0.545,43.2
Lincoln Park Community Shelter - Fullerton,44,35,1.5,15,0.341,22.7
Cornerstone - Sylvia,44,130,1.8,11,0.25,15.9
Margaret's Village - Maria Shelter,44,50,1.2,11,0.25,22.7
Primo - Sangamon,44,121,0.6,11,0.25,20.5
North Side Housing & Supportive Services - Michael Segoviano Shelter,44,48,0.9,9,0.205,18.2
A Safe Haven - Roosevelt,44,27,0.3,7,0.159,15.9
Deborah's Place - Teresa,44,10,0.2,6,0.136,13.6
Good News Partners - New Life,44,52,0.2,6,0.136,11.4
Inner Voice - Pioneer House,44,13,0.2,5,0.114,9.1
A Safe Haven - West,44,90,0.7,4,0.091,9.1
Casa Central La Posada - 1322 N Kedzie,44,72,1.1,4,0.091,9.1
Olive Branch Mission - Lamplight Single Men,44,110,0.8,4,0.091,6.8
Primo - Madison,44,209,0.8,4,0.091,9.1
Unity - Ujima Village,44,24,3.7,4,0.091,4.5
Cornerstone - Naomi Men,44,28,0.2,3,0.068,6.8
Margaret's Village - Believe Shelter,44,50,0.9,3,0.068,6.8
Olive Branch Mission - Lamplight II,44,32,8.3,3,0.068,6.8
The Salvation Army - Evangeline Booth Lodge,44,220,0.3,3,0.068,6.8
Christian Community Health Center - Amani House,44,60,0.6,2,0.045,4.5
Cornerstone - Naomi Women,44,44,0.1,2,0.045,4.5
La Casa Norte - 47th Street,42,30,0.6,2,0.048,4.8
Olive Branch Mission - Lamplight III,44,64,8.6,2,0.045,4.5
A Safe Haven - Youth,44,90,0.7,1,0.023,2.3
Featherfist - Hope Village,44,60,0.1,1,0.023,2.3
The Night Ministry - Open Door Youth Shelter,44,16,2.3,1,0.023,2.3
Cornerstone - Hannah House,44,55,0,0,0,0
New Life CC,44,48,0.2,0,0,0
