shelter_group,conversion_coef,conversion_se,conversion_p,total_placed,mean_beds,n_days,mean_daily_rate,model_status,reliable
Christian Community Health Center - Amani House,0.671473092500693,0.7312431799433875,0.358481524912012,2,0.5909090909090909,44,0.045454545454545456,converged,TRUE
Casa Central La Posada - 1322 N Kedzie,0.4801425643656608,0.20472696028504878,0.019012666078149967,4,1.1363636363636365,44,0.09090909090909091,converged,TRUE
A Safe Haven - West,0.4156656420878205,0.15164669493013452,0.00612499858781633,4,0.7272727272727273,44,0.09090909090909091,converged,TRUE
Primo - Madison,0.34557654261675735,0.16969332255287523,0.04170248379906818,4,0.8181818181818182,44,0.09090909090909091,converged,TRUE
Cornerstone - Sylvia,0.327674159442022,0.10450763329763639,0.0017161474411830026,11,1.7954545454545454,44,0.25,converged,TRUE
Olive Branch Mission - Lamplight Single Women,0.30609214489740877,0.10950187979916592,0.00518493174391463,27,1.9318181818181819,44,0.6136363636363636,converged,TRUE
Lincoln Park Community Shelter - Fullerton,0.2635346991127545,0.1653788416753483,0.11104330427276621,15,1.5,44,0.3409090909090909,converged,TRUE
Primo - Sangamon,0.23505620240714042,0.19733943744934423,0.23360398981868324,11,0.5909090909090909,44,0.25,converged,TRUE
Franciscan Outreach - House of Mary and Joseph,0.20041696174990337,0.07138229430010028,0.004990342715280722,55,1.4545454545454546,44,1.25,converged,TRUE
Margaret's Village - Believe Shelter,0.17076708428245285,0.24051480227921826,0.47770007622446614,3,0.8863636363636364,44,0.06818181818181818,converged,TRUE
Olive Branch Mission - Lamplight III,0.12548345901475222,0.15208111007526454,0.40930983613209354,2,8.590909090909092,44,0.045454545454545456,converged,TRUE
Margaret's Village - Maria Shelter,0.09679496704096384,0.21186192610317045,0.6477590296076676,11,1.2045454545454546,44,0.25,converged,TRUE
YWLA,0.09528936565019303,0.06691976298977091,0.15446540602317813,40,2.227272727272727,44,0.9090909090909091,converged,TRUE
La Casa Norte - 47th Street,0.042247151523960566,0.38460271537685975,0.9125313406558742,2,0.6428571428571429,42,0.047619047619047616,converged,TRUE
Olive Branch Mission - Lamplight I,0.0340139298882767,0.03896510886560814,0.38269959079074645,24,2.6363636363636362,44,0.5454545454545454,converged,TRUE
MWRD,-1.0333883164329194e-4,0.0021513339855611883,0.9616885326991614,68,299.40909090909093,44,1.5454545454545454,converged,TRUE
Unity - Ujima Village,-0.05879330304178118,0.17258438372347323,0.7333564708761329,4,3.7045454545454546,44,0.09090909090909091,converged,TRUE
Olive Branch Mission - Lamplight Single Men,-0.07495539373698382,0.5389732886258097,0.8893942794444597,4,0.7954545454545454,44,0.09090909090909091,converged,TRUE
The Salvation Army - EHARC,-0.07863409685934115,0.15220815294066337,0.6054199795191568,5,68.72727272727273,44,0.11363636363636363,converged,TRUE
Olive Branch Mission - Lamplight II,-0.14265687484685696,0.12822521606828735,0.26590204393165495,3,8.295454545454545,44,0.06818181818181818,converged,TRUE
North Side Housing & Supportive Services - Michael Segoviano Shelter,-0.23864270990116973,0.4164573741479872,0.5666241526487208,9,0.8636363636363636,44,0.20454545454545456,converged,TRUE
Cornerstone - Naomi Men,2.0040037375144304,2.0176674749513066,0.32059887857331065,3,0.18181818181818182,44,0.06818181818181818,converged,FALSE
Inner Voice - Pioneer House,1.058575530051549,0.608703794152315,0.08202331106016073,5,0.20454545454545456,44,0.11363636363636363,converged,FALSE
Deborah's Place - Teresa,0.8505828545553765,0.8687525214141752,0.32753781638992746,6,0.1590909090909091,44,0.13636363636363635,converged,FALSE
The Salvation Army - Evangeline Booth Lodge,0.4644162068127577,0.3693879355787789,0.20865996285419866,3,0.2727272727272727,44,0.06818181818181818,converged,FALSE
Good News Partners - New Life,0.36780715286936966,0.26767681392308984,0.16941940318099105,6,0.25,44,0.13636363636363635,converged,FALSE
AIC,-0.022041460531804113,5.799216907567924,0.996967435604792,3,312.59090909090907,44,0.06818181818181818,converged,FALSE
Cornerstone - Naomi Women,-15.944980779770058,4975.696787981138,0.9974431255050549,2,0.06818181818181818,44,0.045454545454545456,converged,FALSE
A Safe Haven - Roosevelt,-17.687871658250796,2918.4993182497856,0.9951643664176082,7,0.3181818181818182,44,0.1590909090909091,converged,FALSE
A Safe Haven - Youth,NA,NA,NA,1,0.7272727272727273,44,0.022727272727272728,insufficient_data,FALSE
Cornerstone - Hannah House,NA,NA,NA,0,0,44,0,insufficient_data,FALSE
Featherfist - Hope Village,NA,NA,NA,1,0.09090909090909091,44,0.022727272727272728,insufficient_data,FALSE
New Life CC,NA,NA,NA,0,0.18181818181818182,44,0,insufficient_data,FALSE
The Night Ministry - Open Door Youth Shelter,NA,NA,NA,1,2.272727272727273,44,0.022727272727272728,insufficient_data,FALSE
